id,article_title,article_language,journal_title,journal_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
1266,clinical effect observation of fule cream to cure dermatitis eczemal,_nan_,international medicine & health guidance news [guo ji yi yao wei sheng dao bao],bjog : an international journal of obstetrics and gynaecology,0961-5423,14,14,1/1/08,65-68-,"{""x. h. lywxwf wu""}"
2842,non-steroidal anti-inflammatory drugs and the risk of cardiovascular diseases: are we going to see the revival of cyclooxygenase-2 selective inhibitors?. [review] [23 refs],_nan_,polskie archiwum medycyny wewnetrznej,scand. cardiovasc. j.,1098-240x,119,4,4/1/09,231-5-,"{""p. gluszko"",""a. bielinska""}"
5782,oral dimenhydrinate versus placebo in children with gastroenteritis: a randomized controlled trial,_nan_,pediatrics,pediatrics,1098-4275,129,6,1/1/12,1050-1055,"{""s. gouin"",""j. gravel"",""m. roy"",""d. lebel"",""t.-t. vo""}"
6028,preliminary results from a single institutional prospective study of alemtuzumab for the treatment of steroid refractory acute graft versus host disease in pediatrics,_nan_,biology of blood and marrow transplantation,biol.blood marrow transplant.,1083-8791,19,2,1/1/13,s331-,"{""a. filipovich"",""m. jordan"",""s. davies"",""r. marsh"",""p. khandelwal"",""m. grimley"",""s. chandra"",""a. kumar"",""s. jodele"",""p.a. mehta"",""k. myers"",""j. bleesing""}"
6207,serum mmps 7-9 and their inhibitors during glucocorticoid and anti-tnf-alpha therapy in pediatric inflammatory bowel disease,_nan_,scandinavian journal of gastroenterology,acta cytol.,0022-3956,47,7,1/1/12,785-794,"{""kaija leena kolho"",""hanne rintamaki"",""taina tervahartiala"",""timo sorsa"",""laura makitalo""}"
6786,phase ii study to evaluate the safety and efficacy of the oral neurokinin-1 receptor antagonist casopitant (gw679769) administered with ondansetron for the prevention of postoperative and postdischarge nausea and vomiting in high-risk patients,_nan_,anesthesiology,am.j.epidemiol.,mar-22,113,1,1/1/10,74-82,"{""demetrios j. kutsogiannis"",""neil k. singla"",""frances chung"",""stephen r. lane"",""jeremey levin"",""joseph v.j. pergolizzi"",""brendan johnson"",""linda blackburn"",""sonia k. singla""}"
6862,long-term outcome for immune suppression and immune related lymphoproliferative disorder: prospective data from the united kingdom children's leukaemia and cancer group registry 1994-2004,_nan_,leukemia and lymphoma,angew. chem. int. ed. engl.,nct00227591/clinicaltrials.gov nct00509899/clinicaltrials.gov nct00599547/clinicaltrials.gov nct00631462/clinicaltrials.gov nct00934544/clinicaltrials.gov nct00952289/clinicaltrials.gov nct01420770/clinicaltrials.gov nct01437787/clinicaltrials.gov,53,5,1/1/12,842-848,"{""a. wotherspoon"",""m.m. taj"",""n. hadzic"",""m. burke"",""r. hobson"",""s.e. height"",""m. viskaduraki"",""c.r. pinkerton""}"
8529,"maternal use of folic acid supplements during pregnancy, and childhood respiratory health and atopy.",eng,the european respiratory journal,eur. respir. j.,1399-3003,39,6,6/1/12,1468-74,"{""gerard h koppelman"",""johan c de jongste"",""liset e m elstgeest"",""henri��tte a smit"",""ulrike gehring"",""annemien haveman-nies"",""marjan kerkhof"",""marga b m bekkers"",""alet h wijga"",""salome scholtens""}"
9325,children are pharmaco-therapeutic orphans.,eng,pediatric allergy and immunology : official publication of the european society of pediatric allergy and immunology,pediatr allergy immunol,1399-3038,21,2,3/1/10,249-50,"{""c k naspitz"",""j o warner""}"
11709,sleep-related nighttime crying (yonaki) in japan: a community-based study.,eng,pediatrics,pediatrics,1098-4275,115,1,1/1/05,217-24,"{""michio fukumizu"",""marie j hayes"",""makiko kaga"",""jun kohyama""}"
12554,retrovirus-mediated wasp gene transfer corrects wiskott-aldrich syndrome t-cell dysfunction.,eng,human gene therapy,hum. gene ther.,1043-0342,13,9,6/10/02,1039-46,"{""g jayashree jagadeesh"",""david l nelson"",""taizo wada"",""fabio candotti""}"
13408,eczema - quiz.,eng,paediatrics & child health,paediatr child health,1918-1485,5,2,3/1/00,105,{null}
13601,latex allergy in atopic children.,eng,british journal of dermatology.,jama otolaryngol head neck surg,0007-0963,140,5,5/1/99,919-21,"{""r s lever"",""s a holme""}"
14077,preferential expression of t-cell receptor v beta-chains in atopic eczema.,eng,acta dermato-venereologica,acta derm. venereol.,jan-55,76,3,5/1/96,214-8,"{""c l̦liger"",""k neuber"",""j ring"",""i k̦hler""}"
15325,effects of different antihypertensive drugs on plasma fibrinogen in hypertensive patients.,_nan_,british journal of clinical pharmacology,br j clin pharmacol,0306-5251,39,5,1/1/95,471-6,"{""g villa"",""a zoppi"",""g d malamani"",""g marasi"",""a vanasia"",""r fogari""}"
18298,ulcer healing after peripheral intervention.,eng,circulation journal : official journal of the japanese circulation society,circ. j.,1347-4820,_nan_,_nan_,7/4/14,_nan_,"{""daiki uchida"",""yukihiro saito"",""hisashi uchida"",""atsuhiro koya"",""nobuyoshi azuma""}"
19086,phase angle for prognostication of survival in patients with advanced cancer: preliminary findings.,eng,cancer,cancer,1097-0142,120,14,7/15/14,2207-14,"{""gary chisholm"",""eduardo bruera"",""swati bansal"",""david hui"",""rony dev"",""margarita morgado""}"
20641,serial postoperative awake and sleep eeg and long-term seizure outcome after anterior temporal lobectomy for hippocampal sclerosis.,eng,epilepsy research,epilepsy res.,1872-6844,108,5,7/1/14,945-52,"{""alfredo d'aniello"",""addolorata mascia"",""vincenzo esposito"",""pier paolo quarato"",""marco de risi"",""angelo picardi"",""giancarlo di gennaro"",""liliana g grammaldo"",""sara casciato"",""giulio n meldolesi""}"
21599,challenges in deactivating a total artificial heart for a patient with capacity.,eng,chest,chest,1931-3543,145,3,3/1/14,625-31,"{""erik e suarez"",""bridget n fahy"",""brian a bruckner"",""courtenay r bruce"",""nathan g allen"",""harvey l gordon""}"
21910,examining waiting placement in hospital: utilization and the lived experience.,eng,global journal of health science,glob j health sci,1916-9736,6,2,3/1/14,22-dec,"{""donna m wilson"",""jessica a hewitt"",""ralph magnus"",""jill vihos"",""karen peterson"",""nancy barnes""}"
22708,comparing modelling techniques for analysing urban pluvial flooding.,eng,water science and technology : a journal of the international association on water pollution research,water sci. technol.,0273-1223,69,2,1/1/14,305-11,"{""j van der meulen"",""j kluck"",""e van dijk"",""j h m straatman""}"
23215,colorectal cancer predicted risk online (crc-pro) calculator using data from the multi-ethnic cohort study.,eng,journal of the american board of family medicine : jabfm,j am board fam med,1557-2625,27,1,1/1/14,42-55,"{""leila jackson"",""brian j wells"",""gregory s cooper"",""siran koroukian"",""michael w kattan""}"
24026,modelling the effects of subjective and objective decision making in scientific peer review.,eng,nature,nature,1476-4687,506,7486,2/6/14,93-6,"{""marcus r munaf�_"",""mike w peacey"",""in-uck park""}"
24381,the care guidelines: consensus-based clinical case reporting guideline development.,eng,headache,headache,1526-4610,53,10,11/1/13,1541-7,"{""[collective name] care group"",""joel j gagnier"",""david moher"",""douglas g altman"",""gunver kienle"",""david riley"",""harold sox""}"
26216,the choice of whether to participate in a phase i clinical trial: increasing the awareness of patients with cancer. an exploratory study.,eng,psycho-oncology,psychooncology,1099-1611,23,3,3/1/14,322-9,"{""g spitaleri"",""l adamoli"",""f vecchio"",""f de braud"",""c catania"",""a delmonte"",""f toffalorio"",""t de pas"",""c noberasco"",""d radice"",""a goldhirsch""}"
26475,situating universal design architecture: designing with whom?,eng,disability and rehabilitation,disabil rehabil,1464-5165,_nan_,_nan_,7/28/14,6-jan,"{""paul jones""}"
30272,glial cells in amyotrophic lateral sclerosis.,eng,experimental neurology,exp. neurol.,1090-2430,_nan_,_nan_,5/22/14,_nan_,"{""t philips"",""j d rothstein""}"
31763,protein kinase ck-1 inhibitors as new potential drugs for amyotrophic lateral sclerosis.,eng,journal of medicinal chemistry,j. med. chem.,1520-4804,57,6,3/27/14,2755-72,"{""irene g salado"",""ana martinez"",""daniel i perez"",""brian c kraemer"",""murilo l bello"",""concepci�_n perez"",""nicole f liachko"",""magalie lecourtois"",""miriam redondo"",""carmen gil"",""laetitia miguel""}"
32426,evaluation of a single intra-articular injection of autologous protein solution for treatment of osteoarthritis in horses.,eng,american journal of veterinary research,am. j. vet. res.,1943-5681,75,2,2/1/14,141-51,"{""akikazu ishihara"",""maxey l wellman"",""andrea r barnaba"",""alicia l bertone"",""peter m kanter"",""rebecca a schwarze"",""michael l schmall"",""ron l genovese"",""lisa j zekas"",""katharine b lewis""}"
33728,branching enzyme deficiency: expanding the clinical spectrum.,eng,jama neurology,jama neurol,2168-6157,71,1,1/1/14,41-7,"{""salvatore dimauro"",""carolina ionete"",""hasan o akman"",""carmen paradas"",""david e jones"",""michio hirano"",""peter n riskind"",""thomas w smith"",""heather lau""}"
